country,capital city
Afghanistan,Kabul
Albania,Tirana
Algeria,Algiers
Angola,Luanda
Argentina,Buenos Aires
Australia,Canberra
Austria,Vienna
Bahrain,Manama
Bangladesh,Dhaka
Belgium,Brussels
Benin,Porto-novo
Bolivia,Sucre
Bosnia and Herzegovina,Saravejo
Botswana,Gaborone
Brazil,Brasilia
Bulgaria,Sofia
Burkina Faso,Ouagadougou
Burundi,Bujumbura
Cambodia,Phnom penh
Cameroon,Yaounde
Canada,Ottawa
Central African Republic,Bangui
Chad,N'Djamena
Chile,Santiago
China,Beijing
Colombia,Bogota
Comoros,Moroni
"Congo, Dem. Rep.",Kinshasa
"Congo, Rep.",Brazzaville
Costa Rica,San Jose
Cote d'Ivoire,Yamoussoukro
Croatia,Zagreb
Cuba,Havana
Czech Republic,Prague
Denmark,Copenhagen
Djibouti,Djibouti
Dominican Republic,Santo Domingo
Ecuador,Quito
Egypt,Cairo
El Salvador,San Salvador
Equatorial Quinea,Malabo
Eritrea,Asmara
Ethiopia,Tallinn
Finland,Helsinki
France,Paris
Gabon,Libreville
Gambia,Banjul
Germany,Berlin
Ghana,Accra
Greece,Athens
Guatemala,Guatemala City
Guinea,Conakry
Guinea-Bissau,Bissau
Haiti,Port-au-Prince
Honduras,Tegucigalpa
"Hong Kong, China",Hong Kong
Hungary,Budapest
Iceland,Reykjavik
India,New Delhi
Indonesia,Jakarta
Iran,Tehran
Iraq,Baghdad
Ireland,Dublin
Israel,Jerusalem
Italy,Rome
Jamaica,Kingston
Japan,Tokyo
Jordan,Amman
Kenya,Nairobi
"Korea, Dem. Rep. ",Pyongyang
"Korea, Rep.",Seoul
Kuwait,Kuwait City
Lebanon,Beirut
Lesotho,Maseru
Liberia,Monrovia
Libya,Tripoli
Madagascar,Antananarivo
Malawi,Lilongwe
Malaysia,Kuala Lumpur
Mali,Bamako
Mauritania,Nouakchott
Mauritius,Port Louis
Mexico,Mexico City
Mongolia,Ulaanbaatar
Montenegro,Podgorica
Morocco,Rabat
Mozambique,Maputo
Myanmar,Naypyidaw
Namibia,Windhoek
Nepal,Kathmandu
Netherlands,Amsterdam
New Zealand,Wellington
Nicaragua,Managua
Niger,Niamey
Nigeria,Abuja
Norway,Oslo
Oman,Muscat
Pakistan,Islamabad
Panama,Panama City
Paraguay,Ascuncion
Peru,Lima
Philippines,Manila
Poland,Warsaw
Portugal,Lisbon
Puerto Rico,San Juan
Reunion,Saint Denis
Romania,Bucharest
Rwanda,Kigali
Sao Tome and Principe,Sao Tome
Saudi Arabia,Riyadh
Senegal,Dakar
Serbia,Belgrade
Sierra Leone,Freetown
Singapore,Singapore
Slovak Republic,Bratislava
Slovenia,Ljubljana
Somalia,Mogadishu
South Africa,Cape Town
Spain,Madrid
Sri Lanka,Sri Jayawardenepura Kotte
Sudan,Khartoum
Swaziland,Mbabane
Sweden,Stockholm
Switzerland,Bern
Syria,Damascus
Taiwan,Taipei
Tanzania,Dodoma
Thailand,Bangkok
Togo,Lome
Trinidad and Tobago,Port of Spain
Tunisia,Tunis
Turkey,Ankara
Uganda,Kampala
United Kingdom,London
United States,Washington DC
Uruguay,Montevideo
Venezuela,Caracas
Vietnam,Hanoi
West Bank and Gaza,Gaza City
"Yemen, Rep.",Sana'a
Zambia,Lusaka
Zimbabwe,Harare
