country,capital city,hemisphere
Afghanistan,Kabul,Northern
Albania,Tirana,Northern
Algeria,Algiers,Northern
Angola,Luanda,Southern
Argentina,Buenos Aires,Southern
Australia,Canberra,Southern
Austria,Vienna,Northern
Bahrain,Manama,Northern
Bangladesh,Dhaka,Northern
Belgium,Brussels,Northern
Benin,Porto-novo,Northern
Bolivia,Sucre,Southern
Bosnia and Herzegovina,Saravejo,Northern
Botswana,Gaborone,Southern
Brazil,Brasilia,Southern
Bulgaria,Sofia,Northern
Burkina Faso,Ouagadougou,Northern
Burundi,Bujumbura,Southern
Cambodia,Phnom penh,Northern
Cameroon,Yaounde,Northern
Canada,Ottawa,Northern
Central African Republic,Bangui,Northern
Chad,N'Djamena,Northern
Chile,Santiago,Southern
China,Beijing,Northern
Colombia,Bogota,Southern
Comoros,Moroni,Southern
"Congo, Dem. Rep.",Kinshasa,Southern
"Congo, Rep.",Brazzaville,Southern
Costa Rica,San Jose,Northern
Cote d'Ivoire,Yamoussoukro,Northern
Croatia,Zagreb,Northern
Cuba,Havana,Northern
Czech Republic,Prague,Northern
Denmark,Copenhagen,Northern
Djibouti,Djibouti,Northern
Dominican Republic,Santo Domingo,Northern
Ecuador,Quito,Southern
Egypt,Cairo,Northern
El Salvador,San Salvador,Northern
Equatorial Quinea,Malabo,Northern
Eritrea,Asmara,Northern
Ethiopia,Tallinn,Northern
Finland,Helsinki,Northern
France,Paris,Northern
Gabon,Libreville,Southern
Gambia,Banjul,Northern
Germany,Berlin,Northern
Ghana,Accra,Northern
Greece,Athens,Northern
Guatemala,Guatemala City,Northern
Guinea,Conakry,Northern
Guinea-Bissau,Bissau,Northern
Haiti,Port-au-Prince,Northern
Honduras,Tegucigalpa,Northern
"Hong Kong, China",Hong Kong,Northern
Hungary,Budapest,Northern
Iceland,Reykjavik,Northern
India,New Delhi,Northern
Indonesia,Jakarta,Southern
Iran,Tehran,Northern
Iraq,Baghdad,Northern
Ireland,Dublin,Northern
Israel,Jerusalem,Northern
Italy,Rome,Northern
Jamaica,Kingston,Northern
Japan,Tokyo,Northern
Jordan,Amman,Northern
Kenya,Nairobi,Northern
"Korea, Dem. Rep. ",Pyongyang,Northern
"Korea, Rep.",Seoul,Northern
Kuwait,Kuwait City,Northern
Lebanon,Beirut,Northern
Lesotho,Maseru,Southern
Liberia,Monrovia,Northern
Libya,Tripoli,Northern
Madagascar,Antananarivo,Southern
Malawi,Lilongwe,Southern
Malaysia,Kuala Lumpur,Southern
Mali,Bamako,Northern
Mauritania,Nouakchott,Northern
Mauritius,Port Louis,Southern
Mexico,Mexico City,Northern
Mongolia,Ulaanbaatar,Northern
Montenegro,Podgorica,Northern
Morocco,Rabat,Northern
Mozambique,Maputo,Southern
Myanmar,Naypyidaw,Northern
Namibia,Windhoek,Southern
Nepal,Kathmandu,Northern
Netherlands,Amsterdam,Northern
New Zealand,Wellington,Southern
Nicaragua,Managua,Northern
Niger,Niamey,Northern
Nigeria,Abuja,Northern
Norway,Oslo,Northern
Oman,Muscat,Northern
Pakistan,Islamabad,Northern
Panama,Panama City,Northern
Paraguay,Ascuncion,Southern
Peru,Lima,Southern
Philippines,Manila,Northern
Poland,Warsaw,Northern
Portugal,Lisbon,Northern
Puerto Rico,San Juan,Northern
Reunion,Saint Denis,Southern
Romania,Bucharest,Northern
Rwanda,Kigali,Southern
Sao Tome and Principe,Sao Tome,Northern
Saudi Arabia,Riyadh,Northern
Senegal,Dakar,Northern
Serbia,Belgrade,Northern
Sierra Leone,Freetown,Northern
Singapore,Singapore,Southern
Slovak Republic,Bratislava,Northern
Slovenia,Ljubljana,Northern
Somalia,Mogadishu,Southern
South Africa,Cape Town,Southern
Spain,Madrid,Northern
Sri Lanka,Sri Jayawardenepura Kotte,Northern
Sudan,Khartoum,Northern
Swaziland,Mbabane,Southern
Sweden,Stockholm,Northern
Switzerland,Bern,Northern
Syria,Damascus,Northern
Taiwan,Taipei,Northern
Tanzania,Dodoma,Southern
Thailand,Bangkok,Northern
Togo,Lome,Northern
Trinidad and Tobago,Port of Spain,Northern
Tunisia,Tunis,Northern
Turkey,Ankara,Northern
Uganda,Kampala,Northern
United Kingdom,London,Northern
United States,Washington DC,Northern
Uruguay,Montevideo,Southern
Venezuela,Caracas,Northern
Vietnam,Hanoi,Northern
West Bank and Gaza,Gaza City,Northern
"Yemen, Rep.",Sana'a,Northern
Zambia,Lusaka,Southern
Zimbabwe,Harare,Southern
